[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=15
COLUMN_HEADERS=x0,x1,x2
COMMENTS=

[DATA]
-2.52847222776e-006,0.000147023158812,-2.65708846877e-008
0.714285924841,0.000100699019151,4.94114336715e-005
1.42856892254,6.76983548077e-005,8.41259662321e-005
2.14285838367,4.24625924563e-005,0.000106954312315
2.85714323006,3.02781441396e-005,0.000121178549438
3.57142810137,1.91600091042e-005,0.000127889401804
4.28571193965,1.48149791675e-005,0.00013776564262
4.99999963827,9.3468712479e-006,0.000142128454797
5.71428760199,6.12586698342e-006,0.000143052941307
6.42857150291,2.82962319377e-006,0.000145654187085
7.14285499435,3.00245728459e-006,0.000147041896151
7.85714234579,2.26346695804e-006,0.000147015491939
8.57142773955,1.72155449283e-006,0.000145665662669
9.28571121987,1.78222715827e-006,0.000149931168376
10.0000002729,1.07934408758e-006,0.000149359920683
