[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=1512
COLUMN_HEADERS=('time', '[S1]', '[S2]')

[DATA]
0,0.00015,0
0.00661813,0.0001490105560312611,9.894439687388432e-007
0.0132363,0.0001480276404192677,1.972359580732253e-006
0.0198544,0.000147051208516442,2.948791483558007e-006
0.0264725,0.0001460812173614993,3.918782638500694e-006
0.0330907,0.000145117624733214,4.882375266785975e-006
0.0397088,0.0001441603883243366,5.839611675663365e-006
0.0463269,0.0001432094659960777,6.7905340039223e-006
0.0529451,0.0001422648539274836,7.735146072516412e-006
0.0595632,0.0001413264146578734,8.673585342126592e-006
0.0661813,0.0001403941669462888,9.605833053711156e-006
0.0727995,0.0001394680873856797,1.053191261432031e-005
0.0794176,0.000138548117182839,1.145188281716099e-005
0.0860357,0.0001376342155377095,1.236578446229051e-005
0.0926539,0.000136726341887204,1.327365811279607e-005
0.099272,0.0001358244567546904,1.417554324530958e-005
0.10589,0.0001349285212318027,1.507147876819728e-005
0.112508,0.000134038495682932,1.596150431706803e-005
0.119126,0.0001331543404961508,1.684565950384917e-005
0.125745,0.0001322760180255597,1.772398197444031e-005
0.132363,0.0001314034908918369,1.859650910816313e-005
0.138981,0.0001305367208490039,1.946327915099613e-005
0.145599,0.0001296756696510822,2.032433034891784e-005
0.152217,0.0001288202990520932,2.117970094790676e-005
0.158835,0.0001279705708060586,2.202942919394142e-005
0.165453,0.0001271264466669997,2.28735533330003e-005
0.172071,0.0001262878883889381,2.371211161106195e-005
0.17869,0.0001254548603577713,2.454513964222873e-005
0.185308,0.0001246273297221385,2.53726702778615e-005
0.191926,0.0001238052599247376,2.619474007526237e-005
0.198544,0.0001229886143404138,2.701138565958618e-005
0.205162,0.0001221773563440123,2.782264365598774e-005
0.21178,0.0001213714493103781,2.86285506896219e-005
0.218398,0.0001205708566143565,2.942914338564348e-005
0.225017,0.0001197755416307927,3.022445836920733e-005
0.231635,0.0001189854687259049,3.101453127409512e-005
0.238253,0.0001182006064913562,3.179939350864383e-005
0.244871,0.000117420920985948,3.257907901405205e-005
0.251489,0.0001166463780567121,3.335362194328786e-005
0.258107,0.0001158769437893799,3.412305621062013e-005
0.264725,0.0001151125845083815,3.48874154916185e-005
0.271343,0.0001143533669764337,3.564663302356628e-005
0.277962,0.0001135990526635743,3.640094733642571e-005
0.28458,0.0001128498215648926,3.715017843510749e-005
0.291198,0.0001121054257079362,3.789457429206382e-005
0.297816,0.000111366049641528,3.863395035847211e-005
0.304434,0.0001106314417667385,3.936855823326152e-005
0.311052,0.0001099016496091166,4.009835039088344e-005
0.31767,0.0001091768140493647,4.082318595063532e-005
0.324289,0.0001084566478173251,4.15433521826749e-005
0.330907,0.0001077413462860559,4.225865371394414e-005
0.337525,0.0001070306493039562,4.296935069604388e-005
0.344143,0.0001063247563466101,4.367524365338994e-005
0.350761,0.0001056234040504431,4.437659594955697e-005
0.357379,0.0001049266484793178,4.507335152068224e-005
0.363997,0.0001042346373394754,4.576536266052473e-005
0.370615,0.0001035470726727117,4.645292732728834e-005
0.377234,0.0001028641636316912,4.713583636830883e-005
0.383852,0.0001021856393584902,4.781436064150986e-005
0.39047,0.0001015115621071782,4.84884378928219e-005
0.397088,0.0001008420827181526,4.915791728184749e-005
0.403706,0.0001001768971368081,4.982310286319198e-005
0.410324,9.951622334794863e-005,5.048377665205143e-005
0.416942,9.88597837830246e-005,5.114021621697546e-005
0.423561,9.820779972139176e-005,5.17922002786083e-005
0.430179,9.755999112658286e-005,5.244000887341721e-005
0.436797,9.691642880925161e-005,5.308357119074846e-005
0.443415,9.627726600148593e-005,5.372273399851413e-005
0.450033,9.564219204481404e-005,5.435780795518602e-005
0.456651,9.501143590255024e-005,5.498856409744983e-005
0.463269,9.438471187310954e-005,5.561528812689052e-005
0.469887,9.376225177283851e-005,5.623774822716154e-005
0.476506,9.314376783887174e-005,5.685623216112833e-005
0.483124,9.252933917149994e-005,5.747066082850013e-005
0.489742,9.191911948496475e-005,5.808088051503529e-005
0.49636,9.131279350579311e-005,5.868720649420694e-005
0.502978,9.071059962094153e-005,5.928940037905853e-005
0.509596,9.011224543691155e-005,5.98877545630885e-005
0.516214,8.951781569926557e-005,6.048218430073448e-005
0.522833,8.892728396345805e-005,6.1072716036542e-005
0.529451,8.834082755927455e-005,6.16591724407255e-005
0.536069,8.775810510530167e-005,6.224189489469839e-005
0.542687,8.717920564360662e-005,6.282079435639343e-005
0.549305,8.66041006604453e-005,6.339589933955476e-005
0.555923,8.603297028051745e-005,6.396702971948261e-005
0.562541,8.54654710686075e-005,6.453452893139254e-005
0.569159,8.490169613642257e-005,6.509830386357747e-005
0.575778,8.434161499088999e-005,6.565838500911006e-005
0.582396,8.378522763176335e-005,6.62147723682367e-005
0.589014,8.323269295050688e-005,6.676730704949316e-005
0.595632,8.268366508874523e-005,6.731633491125481e-005
0.60225,8.213824168712914e-005,6.78617583128709e-005
0.608868,8.159639012857511e-005,6.840360987142493e-005
0.615486,8.10581103433473e-005,6.894188965665274e-005
0.622105,8.052356564621349e-005,6.947643435378655e-005
0.628723,7.999240790501345e-005,7.000759209498659e-005
0.635341,7.946473855962182e-005,7.053526144037822e-005
0.641959,7.894052335519174e-005,7.10594766448083e-005
0.648577,7.841976204834891e-005,7.158023795165113e-005
0.655195,7.7902621355783e-005,7.209737864421704e-005
0.661813,7.738875207240374e-005,7.26112479275963e-005
0.668432,7.687825876492074e-005,7.31217412350793e-005
0.67505,7.637110596255833e-005,7.362889403744172e-005
0.681668,7.586747906596573e-005,7.413252093403431e-005
0.688286,7.536703414122691e-005,7.463296585877313e-005
0.694904,7.486987781077484e-005,7.51301221892252e-005
0.701522,7.437597389527258e-005,7.562402610472746e-005
0.70814,7.388532165404047e-005,7.611467834595957e-005
0.714758,7.339809171262354e-005,7.66019082873765e-005
0.721377,7.291393555609338e-005,7.708606444390666e-005
0.727995,7.243296186666633e-005,7.756703813333372e-005
0.734613,7.1955133864755e-005,7.804486613524504e-005
0.741231,7.148045046625807e-005,7.851954953374197e-005
0.747849,7.100908341713008e-005,7.899091658286996e-005
0.754467,7.0540685834936e-005,7.945931416506404e-005
0.761085,7.007536794588167e-005,7.992463205411837e-005
0.767704,6.961309264276736e-005,8.038690735723268e-005
0.774322,6.915385847046615e-005,8.084614152953389e-005
0.78094,6.86978376588245e-005,8.130216234117554e-005
0.787558,6.824468571449789e-005,8.175531428550216e-005
0.794176,6.779451394407165e-005,8.220548605592839e-005
0.800794,6.73472851429057e-005,8.265271485709434e-005
0.807412,6.690318030667831e-005,8.309681969332173e-005
0.81403,6.646186643971438e-005,8.353813356028566e-005
0.820649,6.602345541238344e-005,8.39765445876166e-005
0.827267,6.558791008262011e-005,8.441208991737993e-005
0.833885,6.515522829631928e-005,8.484477170368077e-005
0.840503,6.472558180175078e-005,8.527441819824926e-005
0.847121,6.429863200692016e-005,8.570136799307988e-005
0.853739,6.387449115048529e-005,8.612550884951475e-005
0.860357,6.345312231664233e-005,8.654687768335771e-005
0.866976,6.303452296182672e-005,8.696547703817332e-005
0.873594,6.26188639389794e-005,8.738113606102064e-005
0.880212,6.22058106711779e-005,8.779418932882214e-005
0.88683,6.179547543215495e-005,8.820452456784509e-005
0.893448,6.138782167009811e-005,8.861217832990194e-005
0.900066,6.098284645961416e-005,8.901715354038588e-005
0.906684,6.058071938768194e-005,8.94192806123181e-005
0.913302,6.018111032078229e-005,8.981888967921776e-005
0.919921,5.978413127489515e-005,9.021586872510489e-005
0.926539,5.938974617505548e-005,9.061025382494457e-005
0.933157,5.899812633605865e-005,9.100187366394141e-005
0.939775,5.860895652050989e-005,9.139104347949017e-005
0.946393,5.822234835238428e-005,9.177765164761578e-005
0.953011,5.783826620501358e-005,9.216173379498649e-005
0.959629,5.745670649890697e-005,9.254329350109308e-005
0.966248,5.707783577639095e-005,9.292216422360909e-005
0.972866,5.670133276697919e-005,9.329866723302086e-005
0.979484,5.63273084010208e-005,9.367269159897925e-005
0.986102,5.595572768029513e-005,9.404427231970492e-005
0.99272,5.558658668539738e-005,9.441341331460267e-005
0.999338,5.522004992301709e-005,9.477995007698296e-005
1.00596,5.485580142228586e-005,9.514419857771419e-005
1.01257,5.449395122275228e-005,9.550604877724777e-005
1.01919,5.413446501554459e-005,9.586553498445548e-005
1.02581,5.377733856019828e-005,9.622266143980179e-005
1.03243,5.342257185671335e-005,9.657742814328671e-005
1.03905,5.30701649050898e-005,9.692983509491026e-005
1.04567,5.272022438011874e-005,9.727977561988133e-005
1.05228,5.237246547598396e-005,9.762753452401611e-005
1.0589,5.202699670708997e-005,9.79730032929101e-005
1.06552,5.168378480681785e-005,9.831621519318222e-005
1.07214,5.134282511815186e-005,9.865717488184822e-005
1.07876,5.100411764109199e-005,9.899588235890809e-005
1.08537,5.066766237563824e-005,9.933233762436184e-005
1.09199,5.033344427941969e-005,9.966655572058038e-005
1.09861,5.00014316696778e-005,9.999856833032227e-005
1.10523,4.96717295815632e-005,0.0001003282704184369
1.11185,4.934407946445877e-005,0.0001006559205355413
1.11846,4.901858749355687e-005,0.0001009814125064432
1.12508,4.869522183186289e-005,0.0001013047781681372
1.1317,4.837397734318817e-005,0.0001016260226568119
1.13832,4.805485402753272e-005,0.0001019451459724674
1.14494,4.773785188489652e-005,0.0001022621481151036
1.15156,4.742295921061962e-005,0.0001025770407893805
1.15817,4.711014489181566e-005,0.0001028898551081844
1.16479,4.679939456732607e-005,0.000103200605432674
1.17141,4.649080963261368e-005,0.0001035091903673864
1.17803,4.618414182259837e-005,0.0001038158581774017
1.18465,4.587949434910978e-005,0.0001041205056508903
1.19126,4.557683702888468e-005,0.0001044231629711154
1.19788,4.527616426397707e-005,0.000104723835736023
1.2045,4.497747605438694e-005,0.0001050225239456132
1.21112,4.468077240011431e-005,0.0001053192275998858
1.21774,4.438604449616589e-005,0.0001056139555038342
1.22435,4.409326243250702e-005,0.0001059067375674931
1.23097,4.380252388451744e-005,0.0001061974761154827
1.23759,4.351358882057262e-005,0.0001064864111794275
1.24421,4.322655756397734e-005,0.0001067734424360228
1.25083,4.29414014414913e-005,0.0001070585985585088
1.25745,4.265811449719997e-005,0.0001073418855028001
1.26406,4.237669673110338e-005,0.0001076233032688967
1.27068,4.20971481432015e-005,0.0001079028518567986
1.2773,4.181946197606717e-005,0.000108180538023933
1.28392,4.154360973982951e-005,0.0001084563902601706
1.29054,4.126957765088539e-005,0.0001087304223491147
1.29715,4.099746043930706e-005,0.0001090025395606931
1.30377,4.072702842469351e-005,0.0001092729715753066
1.31039,4.045837857131108e-005,0.000109541621428689
1.31701,4.019148387840484e-005,0.0001098085161215953
1.32363,3.992633804809159e-005,0.0001100736619519085
1.33024,3.966294108037129e-005,0.0001103370589196288
1.33686,3.940129297524396e-005,0.0001105987070247562
1.34348,3.914138876705736e-005,0.0001108586112329428
1.3501,3.888320178095262e-005,0.0001111167982190475
1.35672,3.862682177696697e-005,0.0001113731782230331
1.36334,3.837202721556366e-005,0.0001116279727844365
1.36995,3.811891196863844e-005,0.0001118810880313617
1.37657,3.786745051875663e-005,0.0001121325494812435
1.38319,3.761763630302674e-005,0.0001123823636969734
1.38981,3.736946932144878e-005,0.0001126305306785513
1.39643,3.712294957402275e-005,0.0001128770504259774
1.40304,3.68780733640295e-005,0.0001131219266359706
1.40966,3.663481578184692e-005,0.0001133651842181532
1.41628,3.63931633046826e-005,0.0001136068366953175
1.4229,3.615320393299365e-005,0.0001138467960670065
1.42952,3.591472610802531e-005,0.0001140852738919748
1.43614,3.567782024672999e-005,0.0001143221797532701
1.44275,3.544246244268775e-005,0.0001145575375573124
1.44937,3.520864587783162e-005,0.0001147913541221685
1.45599,3.497637055216159e-005,0.0001150236294478385
1.46261,3.474563646567767e-005,0.0001152543635343224
1.46923,3.451644102842752e-005,0.0001154835589715726
1.47584,3.428876137500445e-005,0.0001157112386249957
1.48246,3.406267940483998e-005,0.0001159373205951602
1.48908,3.383799131696779e-005,0.0001161620086830324
1.4957,3.361478444004296e-005,0.0001163852155599572
1.50232,3.339303627740613e-005,0.000116606963722594
1.50893,3.317273981008336e-005,0.0001168272601899168
1.51555,3.295389503807465e-005,0.0001170461049619255
1.52217,3.273650196138e-005,0.0001172634980386201
1.52879,3.2520558764805e-005,0.0001174794412351952
1.53541,3.230604446044603e-005,0.0001176939555395541
1.54203,3.209294562290175e-005,0.0001179070543770984
1.54864,3.188134375419116e-005,0.000118118656245809
1.55526,3.167104442187989e-005,0.0001183289555781203
1.56188,3.146213157957261e-005,0.0001185378684204276
1.5685,3.125458424818135e-005,0.0001187454157518188
1.57512,3.104839521064362e-005,0.0001189516047893565
1.58173,3.084356446695939e-005,0.0001191564355330408
1.58835,3.064009201712868e-005,0.0001193599079828715
1.59497,3.043797670588611e-005,0.000119562023294114
1.60159,3.023719964545678e-005,0.0001197628003545434
1.60821,3.003783522777491e-005,0.0001199621647722252
1.61482,2.983969624057933e-005,0.0001201603037594208
1.62144,2.964286367157446e-005,0.0001203571363284257
1.62806,2.944731786207542e-005,0.0001205526821379247
1.63468,2.925305143416776e-005,0.0001207469485658324
1.6413,2.906006438785149e-005,0.0001209399356121487
1.64792,2.886835672312661e-005,0.0001211316432768735
1.65453,2.867792772774534e-005,0.0001213220722722548
1.66115,2.848876040117102e-005,0.0001215112395988291
1.66777,2.830084130726285e-005,0.0001216991586927373
1.67439,2.811424584425958e-005,0.0001218857541557406
1.68101,2.792879544015202e-005,0.0001220712045598481
1.68762,2.774456788390635e-005,0.0001222554321160938
1.69424,2.756154493357567e-005,0.0001224384550664245
1.70086,2.737971904669012e-005,0.00012262028095331
1.70748,2.719909022324972e-005,0.0001228009097767504
1.7141,2.701965846325446e-005,0.0001229803415367457
1.72071,2.684142340555283e-005,0.0001231585765944473
1.72733,2.666437013239059e-005,0.0001233356298676096
1.73395,2.648856601273732e-005,0.0001235114339872629
1.74057,2.631383908934e-005,0.0001236861609106602
1.74719,2.614026436944094e-005,0.0001238597356305592
1.75381,2.596782484196623e-005,0.0001240321751580339
1.76042,2.579651282521043e-005,0.0001242034871747897
1.76704,2.562632831917356e-005,0.0001243736716808266
1.77366,2.545727132385559e-005,0.0001245427286761446
1.78028,2.528934168499165e-005,0.0001247106583150085
1.7869,2.512252634118456e-005,0.0001248774736588156
1.79351,2.495681175372464e-005,0.0001250431882462756
1.80013,2.479226769074553e-005,0.0001252077323092546
1.80675,2.462873006905124e-005,0.0001253712699309489
1.81337,2.446627092040026e-005,0.0001255337290795999
1.81999,2.430487455441683e-005,0.0001256951254455833
1.8266,2.414453314070465e-005,0.0001258554668592955
1.83322,2.398524667926373e-005,0.0001260147533207364
1.83984,2.382701517009405e-005,0.0001261729848299061
1.84646,2.366983858378652e-005,0.0001263301614162136
1.85308,2.35137058983405e-005,0.0001264862941016597
1.8597,2.335867798659357e-005,0.0001266413220134066
1.86631,2.320459676008672e-005,0.0001267954032399134
1.87293,2.305153167997405e-005,0.0001269484683200261
1.87955,2.289946820464168e-005,0.0001271005317953585
1.88617,2.274839837243712e-005,0.000127251601627563
1.89279,2.259832218336036e-005,0.0001274016778166398
1.8994,2.24492396374114e-005,0.0001275507603625887
1.90602,2.230115073459026e-005,0.0001276988492654099
1.91264,2.215404626546813e-005,0.000127845953734532
1.91926,2.200791250063405e-005,0.0001279920874993661
1.92588,2.186281407813665e-005,0.0001281371859218635
1.9325,2.171860002605333e-005,0.0001282813999739468
1.93911,2.15753370701172e-005,0.000128424662929883
1.94573,2.143301190392301e-005,0.0001285669880960771
1.95235,2.129161642002689e-005,0.0001287083835799733
1.95897,2.115115061842883e-005,0.0001288488493815713
1.96559,2.101161449912882e-005,0.0001289883855008713
1.9722,2.087300806212687e-005,0.0001291269919378733
1.97882,2.073532393938096e-005,0.0001292646760606192
1.98544,2.059861718130339e-005,0.0001294013828186967
1.99206,2.046274215690409e-005,0.000129537257843096
1.99868,2.032776323841794e-005,0.0001296722367615822
2.00529,2.019366819695029e-005,0.0001298063318030498
2.01191,2.006044879180397e-005,0.0001299395512081961
2.01853,1.992810502297899e-005,0.0001300718949770211
2.02515,1.979663689047533e-005,0.0001302033631095248
2.03177,1.966604439429301e-005,0.0001303339556057071
2.03839,1.953632160302058e-005,0.0001304636783969795
2.045,1.940745499093673e-005,0.0001305925450090634
2.05162,1.927943872139859e-005,0.0001307205612786015
2.05824,1.915226712006451e-005,0.0001308477328799356
2.06486,1.902593451259289e-005,0.0001309740654874072
2.07148,1.890043522464209e-005,0.000131099564775358
2.07809,1.877576358187048e-005,0.0001312242364181296
2.08471,1.865191390993643e-005,0.0001313480860900637
2.09133,1.852888090552492e-005,0.0001314711190944752
2.09795,1.840665982984595e-005,0.0001315933401701542
2.10457,1.828524530828373e-005,0.0001317147546917164
2.11118,1.816463194245008e-005,0.0001318353680575501
2.1178,1.804481433395681e-005,0.0001319551856660433
2.12442,1.792578708441574e-005,0.0001320742129155844
2.13104,1.780754479543868e-005,0.0001321924552045615
2.13766,1.769008206863745e-005,0.0001323099179313627
2.14428,1.757339389460004e-005,0.0001324266061054001
2.15089,1.745747605411073e-005,0.0001325425239458894
2.15751,1.734232353602983e-005,0.0001326576764639703
2.16413,1.722793128133576e-005,0.0001327720687186644
2.17075,1.711429423100697e-005,0.0001328857057689932
2.17737,1.700140732602186e-005,0.0001329985926739783
2.18398,1.688926550735887e-005,0.0001331107344926413
2.1906,1.677786371599641e-005,0.0001332221362840037
2.19722,1.666719689291293e-005,0.0001333328031070872
2.20384,1.655725997908684e-005,0.0001334427400209133
2.21046,1.644804791549657e-005,0.0001335519520845036
2.21707,1.633955564312054e-005,0.0001336604443568796
2.22369,1.623177810293718e-005,0.0001337682218970629
2.23031,1.612471023592493e-005,0.0001338752897640752
2.23693,1.601834736291336e-005,0.0001339816526370868
2.24355,1.591268675292514e-005,0.000134087313247075
2.25017,1.580772407578102e-005,0.0001341922759242191
