[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=512
COLUMN_HEADERS=time,[S1],[S2]
COMMENTS=

[DATA]
0,0.00015,0
0.0195695,0.0001470931131528807,2.90688684711933e-006
0.0391389,0.0001442425622041861,5.757437795813953e-006
0.0587084,0.0001414472557722345,8.55274422776548e-006
0.0782779,0.0001387061286631341,1.129387133686595e-005
0.0978474,0.0001360181181087272,1.398188189127276e-005
0.117417,0.000133382209232046,1.661779076795401e-005
0.136986,0.0001307973836700933,1.92026163299067e-005
0.156556,0.0001282626356158998,2.173736438410024e-005
0.176125,0.0001257770073091457,2.422299269085436e-005
0.195695,0.0001233395464463741,2.66604535536259e-005
0.215264,0.000120949319659116,2.905068034088398e-005
0.234834,0.00011860541280361,3.139458719639005e-005
0.254403,0.000116306927934096,3.369307206590398e-005
0.273973,0.0001140529816798507,3.594701832014935e-005
0.293542,0.0001118427117812249,3.815728821877513e-005
0.313112,0.0001096752742099523,4.032472579004771e-005
0.332681,0.0001075498431249973,4.245015687500272e-005
0.35225,0.0001054656043290594,4.453439567094059e-005
0.37182,0.0001034217526851769,4.657824731482311e-005
0.391389,0.000101417506063612,4.858249393638798e-005
0.410959,9.94520989223696e-005,5.054790107763041e-005
0.430528,9.752478222004903e-005,5.247521777995099e-005
0.450098,9.56348177314184e-005,5.436518226858161e-005
0.469667,9.378147601491492e-005,5.62185239850851e-005
0.489237,9.196404823496728e-005,5.803595176503273e-005
0.508806,9.018184067905219e-005,5.981815932094783e-005
0.528376,8.843417469038455e-005,6.156582530961546e-005
0.547945,8.67203806815753e-005,6.327961931842471e-005
0.567515,8.503979621356043e-005,6.496020378643959e-005
0.587084,8.339177814083583e-005,6.660822185916419e-005
0.606654,8.177569693570845e-005,6.822430306429156e-005
0.626223,8.019093662563236e-005,6.980906337436765e-005
0.645793,7.863689107200966e-005,7.136310892799035e-005
0.665362,7.711296202316429e-005,7.288703797683573e-005
0.684932,7.561856600061935e-005,7.438143399938067e-005
0.704501,7.415313089706126e-005,7.584686910293875e-005
0.72407,7.271609570768872e-005,7.728390429231129e-005
0.74364,7.130691029428865e-005,7.869308970571137e-005
0.763209,6.992503514931227e-005,8.007496485068774e-005
0.782779,6.856994115995119e-005,8.143005884004883e-005
0.802348,6.724110937221338e-005,8.275889062778663e-005
0.821918,6.593803075499929e-005,8.406196924500073e-005
0.841487,6.46602059641778e-005,8.533979403582222e-005
0.861057,6.340714583349175e-005,8.659285416650826e-005
0.880626,6.217837219932824e-005,8.782162780067177e-005
0.900196,6.097341471574923e-005,8.902658528425079e-005
0.919765,5.979181190580649e-005,9.020818809419353e-005
0.939335,5.863311103633203e-005,9.1366888963668e-005
0.958904,5.749686789793071e-005,9.250313210206932e-005
0.978474,5.638264658497273e-005,9.36173534150273e-005
0.998043,5.529001927558622e-005,9.470998072441379e-005
1.01761,5.421856601164982e-005,9.57814339883502e-005
1.03718,5.316787447878518e-005,9.683212552121485e-005
1.05675,5.213753978634954e-005,9.786246021365048e-005
1.07632,5.112716600655404e-005,9.887283399344597e-005
