Case_38,PASS,FAILING_POINTS,0,LARGEST_ERROR,2.44748e-008,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,373
Case_39,FAIL,FAILING_POINTS,0,LARGEST_ERROR,1,SUPPORTED,FALSE,EXCEPTION_MSG,NOT_SUPPORTED,Time,0
Case_40,FAIL,FAILING_POINTS,0,LARGEST_ERROR,1,SUPPORTED,FALSE,EXCEPTION_MSG,NOT_SUPPORTED,Time,0
Case_41,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.92358e-007,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,465
Case_42,PASS,FAILING_POINTS,0,LARGEST_ERROR,6.41259e-012,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,683
Case_43,PASS,FAILING_POINTS,0,LARGEST_ERROR,3.48887e-011,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,309
Case_44,PASS,FAILING_POINTS,0,LARGEST_ERROR,4.16352e-011,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,486
Case_45,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.34105e-011,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,477
Case_46,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.23226e-011,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,162
Case_47,PASS,FAILING_POINTS,0,LARGEST_ERROR,9.60869e-012,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,177
Case_48,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.05261e-011,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,182
Case_49,PASS,FAILING_POINTS,0,LARGEST_ERROR,7.92339e-010,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,169
Case_50,PASS,FAILING_POINTS,0,LARGEST_ERROR,5.99114e-012,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,159
Case_51,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.32873e-007,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,228
Case_52,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.68614e-007,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,319
Case_53,PASS,FAILING_POINTS,0,LARGEST_ERROR,2.31919e-007,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,1157
Case_54,PASS,FAILING_POINTS,0,LARGEST_ERROR,4.07891e-009,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,900
Case_55,PASS,FAILING_POINTS,0,LARGEST_ERROR,7.80858e-009,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,355
Case_56,PASS,FAILING_POINTS,0,LARGEST_ERROR,2.03947e-008,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,1626
Case_57,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.383e-011,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,1393
Case_58,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.383e-011,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,1324
Case_59,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.34509e-011,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,327
Case_60,PASS,FAILING_POINTS,0,LARGEST_ERROR,3.9134e-011,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,344
Case_61,PASS,FAILING_POINTS,0,LARGEST_ERROR,7.06742e-012,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,732
Case_62,PASS,FAILING_POINTS,0,LARGEST_ERROR,6.57937e-012,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,132
Case_63,PASS,FAILING_POINTS,0,LARGEST_ERROR,4.87143e-006,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,157
Case_64,PASS,FAILING_POINTS,0,LARGEST_ERROR,4.41286e-009,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,319
Case_65,PASS,FAILING_POINTS,0,LARGEST_ERROR,5.93421e-012,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,531
Case_66,PASS,FAILING_POINTS,0,LARGEST_ERROR,3.21431e-012,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,702
Case_67,PASS,FAILING_POINTS,0,LARGEST_ERROR,2.59603e-009,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,538
Case_68,PASS,FAILING_POINTS,0,LARGEST_ERROR,4.99801e-006,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,417
Case_69,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.5604e-010,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,507
Case_70,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.86636e-010,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,1544
Case_71,PASS,FAILING_POINTS,0,LARGEST_ERROR,2.37702e-008,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,505
Case_72,PASS,FAILING_POINTS,0,LARGEST_ERROR,5.63718e-008,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,619
Case_73,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.85111e-007,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,429
Case_74,PASS,FAILING_POINTS,0,LARGEST_ERROR,2.07113e-007,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,794
Case_75,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.31383e-007,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,166
Case_76,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.56108e-009,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,153
Case_77,PASS,FAILING_POINTS,0,LARGEST_ERROR,1.14929e-007,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,167
Case_78,PASS,FAILING_POINTS,0,LARGEST_ERROR,9.03887e-009,SUPPORTED,TRUE,EXCEPTION_MSG,NONE,Time,147
