[INFO]
ROAD_RUNNER_VERSION=0.5
CREATOR=rrWinC-0.1
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=512
COLUMN_HEADERS=time,[S1],[S2]

[DATA]
0,0.0001435128994277362,1.559184220074807e-006
0.0195695,0.000162895316149361,-8.613266063959704e-007
0.0391389,0.0001621461781363882,1.848500490041033e-005
0.0587084,0.0001508248794124328,4.882540433008511e-006
0.0782779,0.0001374954308409369,2.765633119581205e-005
0.0978474,0.0001273049993347431,1.153681871426835e-005
0.117417,0.000123180323880277,1.262265367713266e-005
0.136986,0.0001125399958617033,3.57726403586643e-005
0.156556,0.0001321513088564527,1.239393445989262e-005
0.176125,0.0001402547335809656,1.057592739454032e-005
0.195695,0.0001148111883038221,2.07883712080765e-005
0.215264,0.0001304452595656349,3.070454534634853e-005
0.234834,0.0001234538738354552,3.80247005598387e-005
0.254403,0.0001265701622795274,3.784202273103724e-005
0.273973,0.0001173976781922908,3.914531944524674e-005
0.293542,0.0001012451383228213,4.584848934710267e-005
0.313112,0.0001191254962438498,4.826366216919767e-005
0.332681,0.0001134898241287554,3.678817243734312e-005
0.35225,9.402781490364763e-005,5.559522173679783e-005
0.37182,0.0001095275802623562,4.903362925323614e-005
0.391389,0.0001166650838066809,4.037336031835573e-005
0.410959,8.754551616068379e-005,4.500794914524281e-005
0.430528,0.0001076139053451293,4.93727672272056e-005
0.450098,9.036038220297853e-005,5.572166034272524e-005
0.469667,6.766177222152802e-005,5.886303694324543e-005
0.489237,9.433165402932033e-005,5.476271390102675e-005
0.508806,9.941932355271803e-005,5.639219920500125e-005
0.528376,9.338970693546107e-005,4.93386824843531e-005
0.547945,9.186260612339839e-005,5.516198118940354e-005
0.567515,7.844015789574962e-005,4.719027729260811e-005
0.587084,8.993106504193897e-005,5.374463349389061e-005
0.606654,8.147473656579791e-005,6.919903828094651e-005
0.626223,9.163707467153561e-005,6.468775291832527e-005
0.645793,8.16326211806297e-005,8.061964698127439e-005
0.665362,6.932114212391135e-005,6.039571947725973e-005
0.684932,5.819283909522303e-005,7.250588231280077e-005
0.704501,6.001106484225359e-005,8.707349957923016e-005
0.72407,8.05927262091833e-005,9.37822240600469e-005
0.74364,7.048818610946614e-005,6.908593529519612e-005
0.763209,6.346413622665634e-005,8.820029522683474e-005
0.782779,4.647769261531437e-005,7.311291027844221e-005
0.802348,6.255700334716256e-005,8.319549889113154e-005
0.821918,5.678167244555052e-005,0.0001059559105013513
0.841487,6.919124330055334e-005,9.327861908435539e-005
0.861057,4.936927046428763e-005,9.244438286685097e-005
0.880626,4.616472910236686e-005,0.0001016646919234663
0.900196,8.099215346218117e-005,8.833877613000747e-005
0.919765,6.015656968771228e-005,0.000106352726363236
0.939335,5.726365086275607e-005,9.698342897158207e-005
0.958904,4.593221549131099e-005,0.0001012093546620813
0.978474,4.03847795530453e-005,8.848427087496555e-005
0.998043,5.052210325862778e-005,9.996129413241074e-005
1.01761,6.316614512323987e-005,9.948638688445678e-005
1.03718,6.449060296285952e-005,9.072292520745637e-005
1.05675,2.623274716941237e-005,0.0001043143033437417
1.07632,5.275108700165949e-005,9.315445215176965e-005
1.09589,5.604924133859744e-005,0.0001038203589266161
1.11546,5.629348167372023e-005,0.0001091018446276753
1.13503,3.608950863757909e-005,0.0001047502615466734
1.1546,6.322334487038918e-005,0.0001076750245293792
1.17417,4.938431490513481e-005,0.0001119598259195769
1.19374,3.836659377997047e-005,0.0001114131733476512
1.21331,5.266768497902735e-005,9.601578738577631e-005
1.23288,5.39040743255541e-005,9.867147167130781e-005
1.25245,4.668849608532526e-005,0.0001022910688724752
1.27202,5.023657889017555e-005,0.0001165271280967904
1.29159,1.931499239791767e-005,0.0001199995151847846
1.31115,3.917530972492751e-005,0.0001135584390300865
1.33072,4.12671490737347e-005,0.0001149178713516311
1.35029,4.131367891946783e-005,0.0001276840465979094
1.36986,4.101778396184615e-005,0.0001013208933815406
1.38943,4.623115319417071e-005,0.0001195477214886002
1.409,3.537199901187084e-005,0.0001067372956393691
1.42857,2.340722700226292e-005,0.0001093773283961765
1.44814,1.942232490555242e-005,0.0001158384515157523
1.46771,2.759072858181588e-005,0.0001156371734586576
1.48728,1.459186737826802e-005,0.0001284493584583286
1.50685,3.191739282978586e-005,0.0001163606004549085
1.52642,5.000252946090606e-005,0.0001100754451039519
1.54599,1.2944322476073e-005,0.0001019734714531421
1.56556,1.573964995872983e-005,0.0001152672960455299
1.58513,1.234402931825705e-005,0.0001298196630592471
1.6047,3.943662721525496e-005,0.0001093298040139087
1.62427,3.043140341827612e-005,0.0001209834935633699
1.64384,3.214857790715873e-005,0.000115552731097136
1.66341,3.062927355069105e-005,0.0001134251012283371
1.68297,3.21981567143234e-005,0.0001302584727776664
1.70254,1.479267486999761e-005,0.000134282619832238
1.72211,2.801090435413643e-005,0.0001210177726182968
1.74168,9.169066081389919e-006,0.0001268845897425945
1.76125,2.934552085201845e-005,0.0001209790427304914
1.78082,2.729370419323071e-005,0.000120116177247759
1.80039,2.298509971834717e-005,0.0001287501090329152
1.81996,2.759283843509559e-005,0.0001138006655743068
1.83953,2.413732216825391e-005,0.0001429840669404859
1.8591,2.559004295450047e-005,0.0001302109191779254
1.87867,2.156200946492898e-005,0.0001383093209222565
1.89824,2.075684168526691e-005,0.0001142632182959087
1.91781,3.227023284776127e-005,0.0001259841966762239
1.93738,1.479871002961988e-005,0.0001106975946286894
1.95695,2.259038461107872e-005,0.000143609993767502
1.97652,7.805472025198658e-006,0.000121025092445632
1.99609,1.876713790244082e-005,0.0001246833290883103
2.01566,1.349602346568364e-005,0.0001407712582195462
2.03523,2.134245935771361e-005,0.0001319787934478526
2.05479,2.012380031962176e-005,0.0001288829032335301
2.07436,2.764850853419379e-005,0.000123295616505701
2.09393,2.468553334531944e-005,0.0001264182422281486
2.1135,1.690337030403167e-005,0.0001474443404268428
2.13307,8.591529603925848e-006,0.0001415781702027493
2.15264,3.122814551422189e-005,0.0001261149791869167
2.17221,1.369073040938743e-005,0.0001189901637114595
2.19178,1.057254613134853e-005,0.0001329150419930535
2.21135,1.678928057663258e-005,0.0001425895527998739
2.23092,2.934900649752551e-005,0.0001434648494069157
2.25049,2.760092693450973e-005,0.0001379958306254219
2.27006,8.387833965072882e-006,0.0001567803808231024
2.28963,2.513679564264602e-005,0.000133067679317168
2.3092,1.050164535793202e-005,0.0001518804283788978
2.32877,1.81785725789192e-005,0.0001299538093346141
2.34834,1.254500753563818e-005,0.0001238694874025358
2.36791,1.234313118407625e-006,0.0001404471007926102
2.38748,1.542781913442819e-005,0.0001511085628740044
2.40705,6.078270468464377e-006,0.0001191337193875342
2.42661,5.654816920437136e-006,0.0001369423911322891
2.44618,2.193140472974935e-005,0.0001141936777773351
2.46575,2.970206367336038e-005,0.0001401341496636167
2.48532,9.384252319542069e-006,0.0001232565258723887
2.50489,1.460278342891315e-005,0.0001443936316415816
2.52446,-5.065342703127872e-006,0.0001412349357792913
2.54403,1.664516845567183e-005,0.0001317704699681203
2.5636,-4.919197321309479e-006,0.0001346713971802152
2.58317,5.227936587230021e-006,0.0001407555586724824
2.60274,-2.171619757856551e-006,0.0001244840958397527
2.62231,7.357748637664821e-006,0.000134251914376096
2.64188,-1.530303136961078e-006,0.0001476965317944848
2.66145,1.751054291361958e-005,0.0001519939402340702
2.68102,9.802468428248485e-006,0.0001376314933252269
2.70059,2.009225627535429e-005,0.0001330558330003061
2.72016,3.472463182183174e-005,0.0001351264522900025
2.73973,2.681666628752863e-005,0.0001387054083612055
2.7593,9.60394719618421e-006,0.0001384091550359135
2.77886,3.266251940860771e-005,0.0001421512741500558
2.79843,2.426123502027062e-005,0.0001465404224488945
2.818,7.864242024064314e-006,0.0001382268631293855
2.83757,2.497573936610645e-005,0.0001535788446533343
2.85714,1.136556176353049e-005,0.0001362519648681134
2.87671,4.719000550735382e-006,0.0001615016217426545
2.89628,2.855678873813522e-005,0.0001380800101066641
2.91585,3.407945130691169e-005,0.0001279682774210824
2.93542,1.078792786490463e-005,0.0001487207244534877
2.95499,7.225778015452615e-006,0.0001556322734656577
2.97456,4.589392089301268e-006,0.0001431940236174519
2.99413,1.933731363018413e-005,0.000139820297868398
3.0137,5.013743565772991e-006,0.0001374830086157862
3.03327,-3.972647212773531e-007,0.0001452721008752819
3.05284,1.727114702034521e-005,0.0001400191670672577
3.07241,1.860586953439935e-005,0.0001386301294509449
3.09198,2.739441570848555e-006,0.0001503640249320236
3.11155,3.025014264929951e-005,0.0001393291248718075
3.13112,2.3300212087626e-006,0.0001389131101182522
3.15068,3.44213330656774e-006,0.0001463917923827675
3.17025,-8.199657413913937e-006,0.0001344660829397686
3.18982,-7.449012777465879e-006,0.0001333655800873375
3.20939,-8.827155028239676e-006,0.0001578403967136478
3.22896,1.674513388549421e-005,0.0001509932182089776
3.24853,-6.351775884512286e-006,0.0001303210812795309
3.2681,-3.717499074681713e-006,0.0001450426736817786
3.28767,-1.607297497329639e-006,0.0001347092312851313
3.30724,-1.363220570918827e-005,0.0001394412569879797
3.32681,1.479473925330307e-005,0.000158287025841888
3.34638,2.371577054111745e-005,0.0001435571077650821
3.36595,3.985781701777313e-006,0.0001688848494434844
3.38552,2.921466595200137e-006,0.0001532794034954761
3.40509,2.490075162592372e-005,0.0001291057714968643
3.42466,4.681746024044524e-006,0.0001464277026636259
3.44423,1.618059158361395e-005,0.000150974214873049
3.4638,1.603781740511312e-006,0.0001436215063177897
3.48337,2.39845651565598e-005,0.0001460090953879547
3.50294,5.829976569313314e-006,0.0001303673174193183
3.5225,-1.713635068865287e-005,0.0001418100968526904
3.54207,-4.525099573354865e-006,0.0001571625460138671
3.56164,-6.99261931465584e-006,0.0001565540709229561
3.58121,1.498072065681176e-005,0.000150992298214595
3.60078,8.111126941485375e-006,0.0001306721937321481
3.62035,-3.65708074122602e-006,0.0001502438273851381
3.63992,1.472704212847076e-005,0.0001452333744293644
3.65949,8.341963250370276e-006,0.0001402192243188653
3.67906,1.044855341597919e-005,0.0001573222606357203
3.69863,1.580687680909345e-005,0.0001521758624419102
3.7182,-2.089285633582272e-006,0.0001390300418990909
3.73777,5.368984686124782e-006,0.0001281126244972534
3.75734,1.341403530364071e-006,0.00015439327948059
3.77691,7.94212522810615e-006,0.0001520278103549288
3.79648,7.588455906108146e-006,0.0001601933794601624
3.81605,3.571534630779659e-006,0.0001522443698344954
3.83562,1.113654070934956e-005,0.00015102584189877
3.85519,-4.76618334375734e-006,0.0001518985415890869
3.87476,6.676393728973081e-006,0.0001455453432873872
3.89432,-1.484889612854403e-006,0.0001452221445812457
3.91389,-6.641456279829192e-007,0.0001464868105261071
3.93346,1.34492895159573e-005,0.0001374836345178772
3.95303,-9.832637499005081e-006,0.0001440955935887137
3.9726,-7.861951672601849e-006,0.0001401110001987362
3.99217,1.106292044768004e-005,0.0001397761637391519
4.01174,8.746637219934625e-006,0.0001516403914731722
4.03131,1.712719532525945e-005,0.0001637078407832702
4.05088,4.94856962978267e-006,0.0001532369447763521
4.07045,-1.051739111716221e-005,0.0001472284128746787
4.09002,6.312821884280906e-006,0.0001595113678472279
4.10959,-2.361206016635787e-005,0.0001314817837728984
4.12916,1.362196532902322e-005,0.0001376347340521646
4.14873,-2.251493877562675e-005,0.0001412950767985148
4.1683,6.202959588259853e-006,0.000136753524832404
4.18787,-1.565368410037657e-005,0.0001386838262266692
4.20744,6.921221697930022e-006,0.0001345798451600165
4.22701,1.683562516463698e-005,0.0001387061957227576
4.24658,-2.570437990498069e-005,0.0001345206550387869
4.26614,-7.977597687956382e-006,0.0001303139938470126
4.28571,1.944770534809455e-005,0.0001367723959191338
4.30528,7.495549653333635e-006,0.0001491664509034688
4.32485,-1.29714008963874e-005,0.0001604673335765321
4.34442,-1.316770169894386e-005,0.0001588391337220125
4.36399,2.643874648950108e-007,0.0001427869975472907
4.38356,2.265032175164672e-005,0.0001541131590532713
4.40313,1.270784891518636e-005,0.0001365246817152505
4.4227,-1.320626368406893e-005,0.0001596910228969829
4.44227,-2.407439876173553e-005,0.0001516282384066536
4.46184,8.128551446304912e-006,0.0001450741858298151
4.48141,-2.975936562064375e-006,0.0001482257732352969
4.50098,8.119917613369064e-006,0.0001434815052405011
4.52055,5.708478530930522e-007,0.0001417082899765117
4.54012,2.400992763351911e-005,0.000126236896691976
4.55969,-6.376422224483145e-007,0.0001456384436906788
4.57926,-9.472765900693649e-006,0.0001324281056924027
4.59883,-2.662369351545253e-006,0.0001693777344791073
4.6184,-7.161008725674312e-006,0.0001546073952310576
4.63796,5.326444754571555e-006,0.0001519887603625881
4.65753,9.550049738424724e-007,0.0001481628430529443
4.6771,1.629343321289732e-005,0.0001416527220458831
4.69667,-1.788267130022512e-005,0.0001474306940420827
4.71624,6.302356705995109e-006,0.0001330820818345696
4.73581,4.444683047256715e-006,0.0001374993187748619
4.75538,-2.915883233813129e-006,0.0001636877412575131
4.77495,-1.005404236794546e-005,0.0001298590249696942
4.79452,1.336473050178997e-005,0.0001627329256472463
4.81409,-7.600193735183125e-006,0.0001436013082044253
4.83366,8.667080241619889e-006,0.0001541328325429465
4.85323,1.728130135765401e-007,0.0001448439906737931
4.8728,-4.507726284328923e-006,0.0001457108168247669
4.89237,9.283380187770755e-006,0.0001397947443733135
4.91194,6.743869010512057e-006,0.000153777282777738
4.93151,1.064104789351584e-005,0.0001621324181831143
4.95108,-4.911253626096464e-006,0.0001607175993051764
4.97065,-1.379056715192788e-007,0.000150242490013738
4.99022,1.686250936717385e-005,0.0001545116084821122
5.00978,1.453745770594208e-007,0.000143608516020125
5.02935,-1.026369074151737e-006,0.0001411164635997495
5.04892,7.817762090132477e-006,0.0001457467110316762
5.06849,-6.10377122305161e-006,0.0001580231337333287
5.08806,-5.397218331365027e-006,0.0001523167473170093
5.10763,-9.209176961022529e-006,0.0001493836904186359
5.1272,2.824341914264287e-006,0.0001616883340966947
5.14677,9.319497557885089e-006,0.0001446462583317802
5.16634,-1.007267394489291e-005,0.0001386769232214552
5.18591,6.955129953735218e-008,0.0001497383645067835
5.20548,-4.105366979641767e-006,0.0001519673300982586
5.22505,7.479198243250725e-006,0.00013793339633383
5.24462,-1.051773582940157e-005,0.0001580276837125216
5.26419,3.38752320825114e-006,0.0001333242188960311
5.28376,-5.253474069150458e-006,0.0001476548124398609
5.30333,5.312996030675805e-006,0.000141672945321146
5.3229,-2.122412877165117e-006,0.0001600654055043894
5.34247,-4.961133842727048e-006,0.0001323192922984198
5.36204,-1.841394388580507e-006,0.0001491224015237241
5.3816,6.162120090219276e-006,0.000158029005887663
5.40117,-8.274923051786306e-006,0.0001402632289348395
5.42074,-1.328070401142659e-006,0.0001294577017520837
5.44031,-7.190616964215008e-006,0.0001622665677876758
5.45988,-1.470190696505188e-005,0.0001466486918616097
5.47945,-9.403989437487449e-006,0.0001486451026722787
5.49902,1.611403968412331e-005,0.0001384743462070973
5.51859,1.257788781576338e-005,0.0001626686812539656
5.53816,-3.721396243522611e-006,0.0001614693994877766
5.55773,9.301118826398275e-006,0.0001373091451316614
5.5773,8.790909412106425e-006,0.0001594750804964334
5.59687,5.650089715697731e-006,0.0001581726815714622
5.61644,1.707176517157445e-006,0.0001522052629412001
5.63601,-1.526058108873542e-005,0.0001640461744811585
5.65558,-3.48820506705041e-005,0.0001389259681911732
5.67515,6.696136109039019e-006,0.0001485366001826409
5.69472,1.087123616904998e-005,0.0001306654696416009
5.71429,4.10993885445868e-006,0.0001507667990954553
5.73386,-2.277681774785022e-005,0.0001534236707352566
5.75342,-4.925327586162183e-006,0.000137788772336495
5.77299,8.984209510392626e-006,0.0001522238296621838
5.79256,1.168350806867479e-006,0.0001353094637476732
5.81213,-1.165322663324101e-006,0.0001374729507012773
5.8317,3.780971173337828e-006,0.0001456576908126417
5.85127,1.276981877560277e-005,0.0001642764265819819
5.87084,1.180110883672379e-005,0.0001556098152755636
5.89041,5.678941259295853e-006,0.0001407575312326892
5.90998,5.658244493285985e-006,0.0001480000787609968
5.92955,5.780631640561683e-006,0.0001558293110998588
5.94912,-6.762764842391375e-006,0.0001548617553266253
5.96869,1.678778059130886e-005,0.0001302367150878126
5.98826,-4.527715220609547e-006,0.0001408069643902496
6.00783,-6.34565998849969e-006,0.0001463552059834044
6.0274,-1.679172131341353e-005,0.0001450077784810699
6.04697,-1.473979880172307e-005,0.0001520497046654653
6.06654,-1.311496178513637e-005,0.0001629178189477111
6.08611,5.515852229541528e-006,0.0001420580729001878
6.10568,6.610011604705585e-006,0.0001237343905337875
6.12524,-5.656598796498253e-006,0.000136847407075587
6.14481,-1.895792619583575e-006,0.0001448797648402087
6.16438,-8.960129551202527e-007,0.0001508400931557016
6.18395,-1.864939872656804e-005,0.0001600791942366542
6.20352,6.59581812824277e-006,0.0001355286335850502
6.22309,-1.502676820709249e-005,0.0001478607485922628
6.24266,-2.004567850822781e-005,0.0001558954677657523
6.26223,-1.886007261898119e-006,0.0001586976285531825
6.2818,3.563892878818351e-006,0.0001607132822137964
6.30137,-2.679788632493463e-006,0.0001616053264970121
6.32094,1.530580283252413e-005,0.0001548649316464549
6.34051,-2.668816470491831e-006,0.00015030610661237
6.36008,1.295433619694838e-005,0.000162293649456953
6.37965,-3.719962381403224e-006,0.0001563952542516487
6.39922,1.823082341661659e-006,0.000142956114514183
6.41879,-1.544416801900347e-005,0.0001586280153857359
6.43836,1.852170375759751e-005,0.0001495750789486877
6.45793,-1.244474755567248e-005,0.00015224714989111
6.4775,7.885224362078646e-006,0.0001597582915291217
6.49706,1.017087451725072e-005,0.0001577944133298971
6.51663,1.390926776827986e-005,0.0001545955633087748
6.5362,-3.080403949963598e-006,0.0001484646089909393
6.55577,-2.508044155554781e-007,0.000152963165048397
6.57534,9.421432063822522e-006,0.0001533460422770173
6.59491,1.181385547270945e-005,0.0001397414181991952
6.61448,4.545273410316158e-006,0.0001694685867704214
6.63405,-7.880559803351885e-006,0.0001472578860392804
